(to) swim ; schwimmen
doctor ; Doktor
car ; Auto
plane ; Flugzeug
at home ; zu Hause
family ; Familie
(to) live ; leben
flat ; Wohnung
in the street ; in der Straße
house ; Haus
door ; Tür
tv ; Fernseher
chair ; Stuhl
table ; Tisch
shower ; Dusche
bath ; Badewanne
toilet ; Toilette, WC
bed ; Bett
clock ; Uhr
wardrobe ; Kleiderschrank
cupboard ; Küchenschrank, Kuechenschrank
shelf ; Regal
cooker ; Herd, Ofen
living room ; Wohnzimmer
bedroom ; Schlafzimmer
kitchen ; Küche, Kueche
bathroom ; Badezimmer, Bad
good ; gut
biscuit ; Keks
under ; unter
(to) help ; helfen
(to) collect ; sammeln
new ; neu
small ; klein
sister ; Schwester
little ; klein
brother ; Bruder
father ; Vater, Papa
mother ; Mutter, Mama
cousin ; Cousin
an ; ein, eine
only child ; Einzelkind
dad ; Papa, Vater
she is ; sie ist
isn't ; ist nicht
always ; immer
easy ; einfach
he is ; er ist
mum ; Mama, Mutter
uncle ; Onkel
aunt ; Tante
granddad ; Opa, Grossvater, Großvater
grandma ; Oma, Grossmutterm Großmutter
familytree ; Stammbaum
tell me about ; erzähle mir von, erzahle mir von
quiet ; leise
guinea pig ; Meerschweinchen, Meerschwein
language ; Sprache
only ; nur
wrong ; falsch
thanks ; Danke
very ; sehr
some ; einige, wenige
of ; von
say hello ; grüßen, gruessen, grueßen
to ; zu
problem ; Problem
there is ; da sind
there ; dort
garden ; Garten
behind ; hinter
Mr. ; Herr
Mrs. ; Frau
now ; jetzt
everywhere ; überall
again ; wieder
floor ; Fußboden, Fussboden
next to ; neben
in front of ; vor
(to) listen ; zuhören, zuhoeren
idea ; Idee
loft ; Dachboden
own ; eigene
from...to <Wort> ... <Wort>; von ... bis
answer ; Antwort
wall ; Wand
fridge ; Kühlschrank, Kuehlschrank
address ; Adresse
it's ; sein
or ; oder
more ; mehr
fantasy ; Fantasie
(to) draw ; zeichnen
help ; Hilfe
step ; Stufe
there is ; es gibt
there are ; da sind
Here you can see ; Hier kannst Du sehen
this is ; das ist
my favourite room is ; Mein Lieblingszimmer ist
on the left ; links
on the right ; rechts
at the top ; oben
at the bottom ; unten
in the middle ; in der Mitte
in the corner ; in der Ecke
guitar ; Gitarre
stage ; Bühne, Buehne
cable car ; Gondel, Seilbahn, Gondelbahn
fire place ; Kamin
busy ; beschäftigt, beschaeftigt
model ; Modell
who .. for ; Für wen, Fuer wen
who ; wer
(to) explore ; erkunden
best ; bester, beste
bag ; Tasche
maybe ; vielleicht
after ; nach
(to) visit ; besuchen
outside ; draußen, draussen
awful ; schrecklich
don't worry ; keine Sorge
sentence ; Satz
right ; richtig
ending ; Ende
rule ; Regel
planner ; Kalender
lunch ; Mittagessen, Mittag
cafeteria ; Cafeteria
money ; Geld
mashine ; Maschine
(to) pay ; bezahlen
finger ; Finger
(to) buy ; kaufen
sweets ; Süßigkeiten, Sueßigkeiten, Suessigkeiten
shop ; Laden
pen ; Füller, Fueller
pencil ; Stift
pencil case ; Federmappe
exercise book ; Übungsheft, Uebungsheft
ruler ; Lineal
rubber ; Radiergummi
uniform ; Uniform
art ; Kunstunterricht, Kunst
recording studio ; Tonstudio, Aufnahmestudio
tutor ; Klassenlehrer
classroom ; Klassenraum
classmate ; Mitschüler, Mitschueler
(to) have got ; besitzen
question ; Frage
test ; Test
today ; heute
schoolbag ; Schultasche, Ranzen
tutorgroup ; Klasse
good morning ; Guten Morgen
everyone ; jeder
student ; Schüler, Schueler, Student
(to) call ; nennen, anrufen, rufen
him ; ihm
no ; kein
i like singing and dancing ; Ich singe und tanze gerne
(to) sing ; singen
(to) dance ; tanzen
project ; Projekt
well ; tja
something ; etwas
wait and see ; Wart ab
teacher ; Lehrer
group ; Gruppe
lots of ; jede Menge
office ; Büro, Buero
job ; Arbeit
grandparents ; Großeltern
talent show ; Talentwettbewerb
(to) send ; senden
food ; Essen
carrot ; Möhre, Moehre
pudding ; Pudding
restaurant ; Restaurant
pocket money ; Taschengeld
(to) use ; benutzen
here you are ; bitte schön, bitte schoen
be polite ; sei höflich, sei hoeflich
lesson ; Schulstunde
building ; Gebäude, Gebaeude
German students are lucky ; Deutsche Schüler haben Glück, Deutsche Schueler haben Glück, Deutsche Schüler haben Glueck, Deutsche Schueler haben Glueck
(to) stare ; starren
rude ; unhöflich, unhoeflich
funny ; lustig
(to) sit ; sitzen
lunch break ; Mittagspause
them ; ihnen
(to) forget ; vergessen
(to) do ; machen
fun ; fröhlich, froehlich
into ; hinein
alone ; allein
(to) bring ; bringen
(to) be late ; zu spät dran sein, zu spaet dran sein
(to) be ; sein
(to) wear ; anhaben
(to) run ; rennen
homework ; Hausaufgaben
(to) look at ; anschauen, anblicken, ansehen
when ; wenn
already ; schon
(to) add ; ergänzen, ergaenzen
chips ; Pommes frites
(to) practise ; üben , ueben, trainieren
spelling ; Rechtschreibung
(to) need ; brauchen , benötigen, benoetigen
place ; Ort , Stelle, Platz
first ; erste , erster, erstes
(to) learn ; lernen
to play a trick ; einen Streich spielen
(to) work ; arbeiten
presentation ; Präsentation, Praesentation, Vortrag
poem ; Gedicht
voice ; Stimme
popular ; beliebt, populär, polulaer
joke ; Witz
time ; Zeit
(to) know ; wissen , kennen
it's your turn ; Du bist dran
(to) give ; geben, schenken
(to) think ; denken, nachdenken
